crid,officer_id
1078711,923
1078711,1129
1078711,44
1078716,584
1078725,3773
1078725,1649
1078797,3777
1078797,330
1078797,9
1078797,2928
1078797,1271
1078797,3778
1078797,3112
1078797,3779
1078797,3780
1078797,3456
1078797,3250
1078797,782
1078797,1779
1078797,3781
1078797,1550
1078797,3782
1078819,3387
1078839,152
1078845,721
1078845,3785
1078871,3786
1078871,1955
1078883,107
1078883,2986
1078883,1280
1078883,3787
1078883,3788
1078883,1569
1078883,1536
1078883,3789
1078894,649
1078894,3790
1078894,2322
1078894,3791
1078895,671
1078972,789
1078974,3512
1078974,2051
1078974,1197
1078974,1790
1078974,3262
1078974,2213
1078974,3590
1078974,3253
1078974,3628
1078974,1989
1078974,517
1078974,3737
1078974,3049
1078974,3792
1078974,2113
1078974,3776
1078983,3793
1078983,514
1079018,528
1079018,1355
1079018,429
1079037,3387
1079039,2286
1079039,1964
1079057,2303
1079057,2671
1079091,623
1079091,821
1079091,296
1079091,1282
1079091,1576
1079091,913
1079105,1841
1079105,827
1079105,475
1079105,2717
1079105,1474
1079105,27
1079105,1321
1079105,2915
1079107,1412
1079107,1255
1079107,76
1079107,1478
1079107,3270
1079107,502
1079107,1861
1079107,714
1079107,1120
1079107,1121
1079107,1645
1079110,3794
1079110,3795
1079110,3796
1079110,3531
1079110,3797
1079110,3798
1079110,3799
1079135,3800
1079135,64
1079140,3741
1079180,2744
1079180,2304
1079181,2262
1079181,672
1079197,2575
1079197,2586
1079238,944
1079248,623
1079248,821
1079248,296
1079248,1282
1079248,84
1079248,118
1079248,913
1079248,342
1079253,3158
1079253,2478
1079253,2741
1079265,3801
1079265,3534
1079265,3411
1079266,793
1079266,539
1079267,2303
1079267,2671
1079269,3628
1079269,2113
1079270,3802
1079274,3803
1079274,764
1079285,879
1079285,2621
1079285,1411
1079300,3806
1079300,144
1079300,3807
1079300,528
1079300,2754
1079300,1355
1079300,429
1079300,524
1079305,76
1079345,3015
1079345,3741
1079349,3810
1079349,3594
1079349,221
1079368,3811
1079368,98
1079380,2128
1079380,3393
1079385,342
1079390,584
1079390,3725
1079390,1695
1079390,1035
1079390,142
1079390,873
1079390,132
1079390,2818
1079390,1700
1079392,296
1079404,2348
1079410,3812
1079410,175
1079444,1064
1079444,3035
1079446,788
1079448,3520
1079448,577
1079448,973
1079448,3802
1079448,1949
1079448,578
1079448,1192
1079448,580
1079448,3439
1079448,68
1079448,1455
1079488,3520
1079488,577
1079488,973
1079488,3802
1079488,1949
1079488,578
1079488,1192
1079488,580
1079488,3439
1079488,68
1079488,1455
1079537,1269
1079537,1185
1079543,1064
1079543,3813
1079543,3241
1079551,3143
1079575,80
1079601,366
1079601,3815
1079605,3816
1079605,666
1079622,2051
1079622,3262
1079630,286
1079640,275
1079640,2607
1079656,3663
1079672,575
1079672,77
1079689,1435
1079699,1961
1079706,3817
1079706,256
1079711,1961
1079720,1564
1079730,3399
1079730,739
1079769,3818
1079769,3819
1079769,3820
1079769,2857
1079769,3821
1079771,1304
1079771,2976
1079795,3822
1079795,1911
1079795,3823
1079797,3824
1079797,3724
1079800,2336
1079800,3524
1079805,821
1079805,342
1079873,990
1079887,623
1079899,1070
1079926,2410
1079926,814
1080015,296
1080026,1687
1080026,1961
1080030,789
1080110,846
1080110,2348
1080136,3825
1080136,483
1080136,2418
1080136,3826
1080139,739
1080152,3827
1080152,47
1080153,1341
1080153,3828
1080153,3829
1080153,2024
1080165,3339
1080165,3340
1080165,3306
1080176,171
1080176,261
1080178,3016
1080178,3112
1080178,3477
1080189,370
1080189,376
1080195,370
1080195,1057
1080210,2993
1080210,3830
1080210,114
1080212,262
1080216,506
1080216,3253
1080216,875
1080256,3301
1080279,1286
1080279,165
1080279,3354
1080279,789
1080279,1832
1080279,2306
1080279,3839
1080279,3840
1080279,190
1080293,51
1080295,2000
1080295,3606
1080295,3112
1080295,3780
1080295,3841
1080295,3842
1080295,3843
1080306,1549
1080306,3656
1080306,931
1080344,1091
1080344,2090
1080419,318
1080419,675
1080433,3844
1080433,3845
1080433,3172
1080433,402
1080433,3161
1080457,370
1080457,1057
1080478,2000
1080478,3846
1080478,3847
1080478,3848
1080487,2180
1080487,3849
1080493,324
1080493,3061
1080509,165
1080509,789
1080518,397
1080582,3851
1080582,1271
1080582,1527
1080582,1030
1080589,1223
1080595,3017
1080595,3018
1080612,100
1080634,3017
1080638,925
1080646,300
1080646,976
1080646,3852
1080652,104
1080652,3853
1080702,324
1080702,54
1080702,3854
1080703,3855
1080703,3856
1080703,3356
1080708,42
1080738,979
1080738,3857
1080742,3387
1080742,3573
1080769,2993
1080797,2286
1080797,1964
1080825,3860
1080825,1649
1080828,3861
1080828,1754
1080828,94
1080846,3418
1080848,1802
1080912,3492
1080912,3371
1080912,3722
1080912,3862
1080912,3863
1080912,3506
1080912,3864
1080912,2450
1080924,2511
1080928,1110
1080928,1076
1080937,515
1080947,3249
1080947,343
1080947,278
1080970,1784
1080985,633
1081004,3865
1081004,3866
1081004,3867
1081004,2279
1081011,297
1081020,997
1081020,3868
1081020,2555
1081020,1732
1081020,3869
1081020,754
1081066,3717
1081066,3270
1081066,1645
1081066,850
1081109,594
1081109,3104
1081109,598
1081720,2026
1081720,3873
1082094,1534
1082094,2698
1082094,225
1082094,2326
1082094,2450
1082501,716
1082607,1534
1082607,2698
1082607,225
1082607,2326
1082607,2450
